class,precision,recall,f1_score,support
Amaranth,1.0,1.0,1.0,10
Beetroot,1.0,1.0,1.0,10
Bitter Gourd,1.0,1.0,1.0,11
Blueberry,1.0,1.0,1.0,8
Cabbage,1.0,1.0,1.0,10
Cauliflower,1.0,1.0,1.0,10
Coconut,1.0,1.0,1.0,6
Mango,1.0,1.0,1.0,6
Kiwi,1.0,1.0,1.0,10
Jalepeno,1.0,1.0,1.0,10
Grapes,1.0,1.0,1.0,9
Ginger,1.0,1.0,1.0,9
Garlic,1.0,1.0,1.0,10
Fig,1.0,1.0,1.0,10
Eggplant,1.0,1.0,1.0,5
Dragon_fruit,1.0,1.0,1.0,10
Cucumber,1.0,1.0,1.0,10
Sweetpotato,1.0,1.0,1.0,10
Tomato,1.0,1.0,1.0,10
Potato,1.0,1.0,1.0,11
Pumpkin,1.0,1.0,1.0,9
Ridge Gourd,1.0,1.0,1.0,10
Raddish,1.0,1.0,1.0,17
Spiny Gourd,1.0,1.0,1.0,16
Soy beans,1.0,1.0,1.0,10
Sweetcorn,1.0,1.0,1.0,10
Strawberry,1.0,1.0,1.0,10
Orange,1.0,1.0,1.0,10
Onion,1.0,1.0,1.0,9
Paprika,1.0,1.0,1.0,10
Pear,1.0,1.0,1.0,10
Pineapple,1.0,1.0,1.0,10
Peas,1.0,1.0,1.0,10
Broccoli,1.0,0.9411764705882353,0.9696969696969697,17
Pomegranate,0.9090909090909091,1.0,0.9523809523809523,10
Lemon,0.9090909090909091,1.0,0.9523809523809523,10
Okra,0.9090909090909091,1.0,0.9523809523809523,10
Carrot,1.0,0.8888888888888888,0.9411764705882353,9
Cantaloupe,0.8571428571428571,1.0,0.9230769230769231,6
Raspberry,0.8461538461538461,1.0,0.9166666666666666,11
Capsicum,0.8333333333333334,1.0,0.9090909090909091,10
Corn,0.9,0.9,0.9,10
Chilli pepper,0.8181818181818182,1.0,0.9,9
Sponge Gourd,0.9,0.9,0.9,10
Bell pepper,1.0,0.7777777777777778,0.875,9
Bottle Gourd,1.0,0.7368421052631579,0.8484848484848485,19
Apple,0.8888888888888888,0.8,0.8421052631578947,10
Banana,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
Spinach,0.75,0.75,0.75,8
